"","trait","snp_heritability","p_val"
"264","reaction_time_falsealarm10_5",0.120734,7.799e-07
"265","reaction_time_medianrt13_5",0.120694,1.212e-08
"266","locomotor_testing_cent7_5",0.120482,1.785e-07
"267","pavca_MI_d2_index",0.120136,3.919e-09
"268","pavca_MI_d2_prob_diff",0.119827,7.109e-09
"269","social_reinforcement_socialrs_7_5",0.119748,3.619e-05
"270","pavca_MI_d5_prob_diff",0.119307,7.079e-09
"271","pavca_MI_d3_index",0.118868,1.444e-08
"272","delay_discounting_sess1800",0.116673,3.363e-07
"273","light_reinforcement_pre_tot10_5",0.116586,3.757e-08
"274","pavca_MI_d4_avg_mag_lat",0.115555,2.569e-07
"275","pavca_MI_AvgLatMag_D4D5",0.115555,2.569e-07
"276","reaction_time_trials16_5",0.11552,1.017e-07
"277","delay_discounting_rfrate600",0.115515,2.46e-07
"278","reaction_time_pofalsealarm13_5",0.113883,1.98e-06
"279","pavca_MI_d4_response_bias",0.113375,9.931e-08
"280","light_reinforcement_lr_inact_max",0.113325,5.866e-08
"281","social_reinforcement_socialti_max",0.113053,1.86e-05
"282","social_reinforcement_socialrfq",0.112283,4.642e-05
"283","light_reinforcement_pre_tot16_5",0.112117,1.558e-07
"284","delay_discounting_sess1200",0.111967,5.697e-07
"285","ccc_d1_avg_vel",0.11167,3.571e-05
"286","reaction_time_ommisions",0.111658,7.714e-06
"287","social_reinforcement_socialrs_10_5",0.111491,4.348e-05
"288","reaction_time_meanrt13_5",0.111477,3.024e-07
"289","ccc_d3_total_dist",0.111387,6.267e-06
"290","reaction_time_popint13_5",0.111177,3.092e-07
"291","light_reinforcement_lr_inact13_5",0.110821,3.894e-08
"292","light_reinforcement_lr_inact1_5",0.110692,4.857e-07
"293","social_reinforcement_midconrs_16_5",0.110583,0.0002732
"294","social_reinforcement_socialrs_13_5",0.110482,7.675e-06
"295","social_reinforcement_midconti_4_5",0.110344,0.0001854
"296","light_reinforcement_pre_inact13_5",0.110033,2.566e-07
"297","locomotor_testing_rear16_5",0.109536,1.224e-06
"298","ccc_d3_avg_vel",0.10935,4.24e-05
"299","pavca_MI_d4_prob_mag",0.107988,2.139e-06
"300","pavca_MI_d1_prob_diff",0.107895,1.419e-07
"301","light_reinforcement_pre_inact_max",0.107796,7.182e-07
"302","social_reinforcement_opconrfq",0.107252,4.69e-05
"303","locomotor_testing_maxcent",0.106367,3.346e-06
"304","delay_discounting_pc2400",0.10524,8.287e-06
"305","pavca_MI_d4_avg_lev_lat",0.105214,8.544e-07
"306","social_reinforcement_opconti_1_5",0.105103,0.0002133
"307","light_reinforcement_lr_inact7_5",0.104966,2.983e-07
"308","light_reinforcement_pre_act_max",0.103755,4.123e-06
"309","social_reinforcement_totalti_1_5",0.10319,0.0001206
"310","pavca_MI_d1_prob_mag",0.102161,3.614e-06
"311","locomotor_testing_cent10_5",0.100525,1.288e-06
"312","pavca_MI_d5_magazine_ncs",0.100231,1.762e-05
"313","light_reinforcement_pre_tot7_5",0.099875,1.354e-06
"314","novel_object_cntrlate",0.099692,5.474e-05
"315","delay_discounting_tw2400",0.099536,2.5e-06
"316","reaction_time_trials10_5",0.0993,9.186e-07
"317","pavca_MI_d3_prob_mag",0.099047,3.684e-06
"318","pavca_MI_d5_response_bias",0.099018,4.44e-06
"319","social_reinforcement_midconti_1_5",0.098082,0.0007081
"320","reaction_time_devmedrt1_5",0.097591,5.981e-06
"321","social_reinforcement_opconti_16_5",0.09725,0.0007049
"322","light_reinforcement_pre_act13_5",0.096711,1.388e-05
"323","pavca_MI_d1_magazine_cs",0.09644,1.709e-05
"324","ccp_trial_3_saline_dist_mm",0.095638,6.297e-06
"325","pavca_MI_d3_avg_mag_lat",0.095062,1.108e-05
"326","ccc_con_condi_dist_diff_score",0.094985,0.0001479
"327","reaction_time_pofalsealarm10_5",0.094688,2.696e-05
"328","pavca_MI_d3_magazine_cs",0.094394,7.879e-06
"329","pavca_MI_d5_prob_mag",0.093211,6.222e-05
"330","locomotor_testing_cent1_5",0.092965,4.205e-05
"331","social_reinforcement_totalrs_4_5",0.09288,0.001524
"332","delay_discounting_idptauc",0.092868,9.122e-05
"333","pavca_MI_d1_latency_score",0.092856,6.415e-06
"334","social_reinforcement_midconrs_10_5",0.092657,0.0005769
"335","pavca_MI_d1_avg_mag_lat",0.092351,3.615e-05
"336","pavca_MI_d2_latency_score",0.091873,4.219e-06
"337","social_reinforcement_socialrs_max",0.091561,0.0008347
"338","light_reinforcement_pre_inact1_5",0.091131,1.791e-05
"339","light_reinforcement_lr_inact16_5",0.090796,1.841e-06
"340","reaction_time_devmedrt_max",0.090709,5.154e-05
"341","novelty_seeking_hab1_time_center",0.090044,0.001187
"342","crf_MI_active_inactive_diff",0.089951,0.0001363
"343","novelty_seeking_hab2_time_center",0.089754,0.0005473
"344","ccp_pre_test_time_on_cs",0.089631,4.175e-05
"345","novelty_seeking_test_time_center",0.088999,0.0006858
"346","delay_discounting_tw1200",0.088963,9.377e-05
"347","reaction_time_falsealarm16_5",0.088474,1.864e-05
"348","light_reinforcement_lr_inact4_5",0.088115,5.298e-05
"349","light_reinforcement_pre_tot4_5",0.08809,0.0001711
"350","ccc_d7_total_hw_bouts",0.087851,0.0002455
"351","social_reinforcement_totalrs_1_5",0.08732,0.00138
"352","social_reinforcement_socialti_4_5",0.086194,0.002113
"353","delay_discounting_tipauc",0.086109,0.0001274
"354","social_reinforcement_totalti_7_5",0.085731,0.0004419
"355","social_reinforcement_totalrs_max",0.085398,0.00143
"356","ccp_trial_4_cocaine_dist_mm",0.084687,7.121e-05
"357","pavca_MI_d5_magazine_cs",0.084018,0.0001435
"358","open_field_cntrlate",0.083453,0.002197
"359","social_reinforcement_midconti_13_5",0.08321,0.00232
"360","light_reinforcement_pre_inact10_5",0.082918,5.131e-05
"361","social_reinforcement_midconrs_7_5",0.082393,0.003052
"362","social_interaction_inobjzonelate",0.082011,0.001432
"363","social_reinforcement_midconti_10_5",0.081993,0.001557
"364","social_reinforcement_midconti_7_5",0.081909,0.003157
"365","social_reinforcement_opconti_4_5",0.081395,0.003367
"366","light_reinforcement_lr_inact10_5",0.081029,5.686e-05
"367","social_reinforcement_totalti_4_5",0.080709,0.002882
"368","social_reinforcement_opconrs_1_5",0.079525,0.002196
"369","elevated_plus_maze_closelate",0.078371,0.001093
"370","delay_discounting_tw1800",0.077641,0.0001422
"371","light_reinforcement_pre_inact7_5",0.077514,0.0002082
"372","social_reinforcement_midconrs_max",0.07724,0.005697
"373","reaction_time_popint16_5",0.075719,0.0001741
"374","reaction_time_peropinit_slope",0.075246,0.000103
"375","social_reinforcement_midconrs_4_5",0.075016,0.004603
"376","social_reinforcement_socialti_16_5",0.074714,0.01424
"377","social_reinforcement_socialti_13_5",0.074287,0.005574
"378","light_reinforcement_pre_inact4_5",0.073206,0.001567
